#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Pon1	Pon2	10090.ENSMUSP00000002663	10090.ENSMUSP00000062670	0	0	0.056	0.968	0	0	0.500	0.062	0.519
Pon1	Pon3	10090.ENSMUSP00000002663	10090.ENSMUSP00000031773	0	0	0.059	0.963	0.194	0	0.700	0.068	0.759
Pon2	Pon3	10090.ENSMUSP00000062670	10090.ENSMUSP00000031773	0	0	0.057	0.967	0.071	0	0.500	0.067	0.536
Slc1a2	Slc1a3	10090.ENSMUSP00000079100	10090.ENSMUSP00000005493	0	0	0.073	0.935	0.122	0	0.900	0.102	0.917
Slc1a2	Tnf	10090.ENSMUSP00000079100	10090.ENSMUSP00000025263	0	0	0	0	0.041	0	0	0.529	0.529
Slc1a3	Tnf	10090.ENSMUSP00000005493	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.492	0.491
Srxn1	Txnrd1	10090.ENSMUSP00000046196	10090.ENSMUSP00000152046	0	0	0	0	0.193	0	0	0.849	0.873
Tmem119	Tnf	10090.ENSMUSP00000070551	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.412	0.412
Tmem119	Trem2	10090.ENSMUSP00000070551	10090.ENSMUSP00000108863	0	0	0	0	0.117	0	0	0.828	0.841
Tnf	Txnrd1	10090.ENSMUSP00000025263	10090.ENSMUSP00000152046	0	0	0	0	0.051	0	0	0.435	0.440
Tnf	Trem2	10090.ENSMUSP00000025263	10090.ENSMUSP00000108863	0	0	0	0	0.097	0	0	0.650	0.670
