"gene_symbol","go_id","go_description","p_adjusted"
"Adh1","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp3a41a","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2c68","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2c54","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp3a11","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp3a41b","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2s1","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp1a1","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp3a16","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp3a44","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2c67","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2c40","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Adh7","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2c66","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2c69","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Cyp2c65","GO:0042573","retinoic acid metabolic process",3.52954714241547e-25
"Adh1","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Cyp1b1","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Adh5","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Ces1d","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Ces2e","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Cyp1a2","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Sult2a8","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Sult2a4","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Sult2a3","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Aldh3b1","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Sult2a7","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Sult2a5","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Cyp1a1","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Ces1f","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
